code	binomial	pubmed_count
bbrg	Blastococcus brunescens	1
bbrj	Bifidobacterium breve	1190
bbrn	Bifidobacterium breve	1190
bbro	Bordetella bronchialis	5
bbrs	Bifidobacterium breve	1190
bbru	Bifidobacterium breve	1190
bbrv	Bifidobacterium breve	1190
bbs	Borreliella bissettiae	1
bbt	Bradyrhizobium sp. BTAi1	0
bbu	Borreliella burgdorferi	96
bbul	Brevundimonas bullata	7
bbur	Borreliella burgdorferi	96
bbv	Bifidobacterium breve	1190
bbw	Bdellovibrio bacteriovorus	487
bbx	Bordetella bronchiseptica	1502
bbz	Borreliella burgdorferi	96
bca	Bacillus cereus	11793
bcad	Bergeyella cardium	6
bcaf	Borreliella californiensis	0
bcai	Paraburkholderia caribensis	9
bcam	Brochothrix campestris	10
bcao	Bacillus carboniphilus	9
bcas	Brucella canis	463
bcaz	Borreliella carolinensis	0
bcb	Bacillus cereus	11793
bcc	Buchnera aphidicola	307
bce	Bacillus cereus	11793
bcef	Bacillus cereus	11793
bceo	Burkholderia cenocepacia	936
bcep	Burkholderia cepacia	3233
bcer	Bacillus cereus	11793
bcet	Brucella ceti	75
bcew	Burkholderia cenocepacia	936
bcf	Bacillus cereus	11793
bcg	Bacillus cereus	11793
bch	Burkholderia cenocepacia	936
bchi	Borrelia chilensis	8
bchr	Candidatus Blochmanniella chromaiodes	0
bci	Baumannia cicadellinicola	10
bcib	Candidatus Palibaumannia cicadellinicola	0
bcig	Candidatus Palibaumannia cicadellinicola	0
bcj	Burkholderia cenocepacia	936
bck	Heyndrickxia coagulans	58
bcm	Burkholderia orbicola	6
bco	Evansella cellulosilytica	0
bcoa	Heyndrickxia coagulans	58
bcoh	Sutcliffiella cohnii	1
bcop	Brevibacillus composti	2
bcor	Bifidobacterium coryneforme	8
bcou	Bradyrhizobium commune	1
bcp	Blattabacterium Cpu	0
bcq	Bacillus cereus	11793
bcr	Bacillus cereus	11793
bcrb	Bacillus sp. CRB-7	0
bcro	Eshraghiella crossota	2
bcs	Brucella canis	463
bct	Burkholderia cepacia	3233
bcu	Bacillus cereus	11793
bcv	Beutenbergia cavernae	5
bcx	Bacillus cereus	11793
bcz	Bacillus cereus	11793
bda	Cytobacillus dafuensis	1
bdc	Bdellovibrio sp. NC01	0
bdf	Burkholderia diffusa	6
bdg	Bradyrhizobium daqingense	11
bdk	Bdellovibrio sp. KM01	0
bdn	Bifidobacterium dentium	113
bdo	Phocaeicola dorei	35
bdq	Bdellovibrio sp. qaytius	0
bds	Bacteroides difficilis	1
bdv	Bdellovibrio bacteriopascens	1
bdy	Bradyrhizobium dasycarpum	1
bdz	Bdellovibrio sp. ZAP7	0
beb	Betaproteobacteria bacterium	2
beba	Betaproteobacteria bacterium	2
bec	Blochmannia endosymbiont	2
bed	Blochmannia endosymbiont	2
bei	Barrientosiimonas endolithica	2
bem	Blochmannia endosymbiont	2
ben	Blochmannia endosymbiont	2
beo	Priestia filamentosa	10
ber	Bernardetia aquimarina	1
beu	Bifidobacterium eulemuris	1
bex	Pseudobdellovibrio exovorus	0
bfa	Brachybacterium faecium	12
bfai	Candidatus Borrelia fainii	5
bfc	Bacteroides faecium	2
bfca	Bifidobacterium canis	2
bfd	Bacillus freudenreichii	1
bff	Borrelia finlandensis	2
bfg	Bacteroides fragilis	5900
bfh	Butyricimonas faecihominis	6
bfj	Bifidobacterium adolescentis	774
bfk	Bifidobacterium fermentum	1
bfl	Candidatus Blochmanniella floridana	0
bfp	Bombilactobacillus folatiphilus	1
bfq	Brevundimonas fontaquae	0
bfr	Bacteroides fragilis	5900
bfs	Bacteroides fragilis	5900
bft	Buttiauxella ferragutiae	5
bfw	Blastomonas fulva	2
bfy	Buchananella felis	1
bfz	Bordetella flabilis	3
bgb	Borreliella garinii	5
bgc	Borreliella garinii	5
bge	Paraburkholderia atlantica	3
bgea	Bradyrhizobium genosp.	3
bgel	Brevibacillus gelatini	5
bgep	Bradyrhizobium genosp.	3
bgf	Burkholderia sp. CCGE1003	0
bgg	Brachybacterium ginsengisoli	3
bgi	Alkalicoccobacillus gibsonii	1
bgk	Bradyrhizobium genosp.	3
bgm	Bordetella genomosp.	1
bgn	Borreliella garinii	5
bgo	Burkholderia gladioli	356
bgoe	Brevundimonas goettingensis	0
bgok	Bythopirellula goksoeyrii	1
bgq	Bradyrhizobium guangdongense	4
bgs	Borreliella garinii	5
bgu	Burkholderia glumae	252
bgv	Bordetella genomosp.	1
bgx	Bifidobacterium pullorum	10
bgy	Bacillus glycinifermentans	11
bgz	Bradyrhizobium guangzhouense	2
bhai	Bacillus haikouensis	3
bham	Bacillus haimaensis	2
bhan	Blautia hansenii	12
bhar	Bartonella harrusi	2
bhb	Candidatus Blochmanniella camponoti	0
bhc	Breznakiella homolactica	3
bhg	Burkholderia humptydooensis	2
bhh	Brachybacterium halotolerans	2
bhk	Sutcliffiella horikoshii	6
bhl	Bacteroides helcogenes	10
bhn	Bartonella henselae	2044
bho	Bordetella holmesii	107
bhom	Bacteroides hominis	2
bhq	Brachybacterium huguangmaarense	1
bhr	Borrelia hermsii	269
bhs	Bartonella henselae	2044
bhua	Bradyrhizobium huanghuaihaiense	4
bhud	Bisgaardia hudsonensis	7
bhui	Brevibacillus humidisoli	1
bhum	Bacteroides parvus	1
bhx	Bartonella heixiaziensis	2
bhy	Brachyspira hyodysenteriae	314
bhyb	Brachyspira hyodysenteriae	314
bhyj	Brachyspira hyodysenteriae	314
bia	Bizionia sp. M204	0
bic	Bradyrhizobium icense	5
bie	Bengtsoniella intestinalis	1
bih	Candidatus Bipolaricaulis sibiricus	0
bii	Bifidobacterium indicum	6
bir	Brevundimonas intermedia	10
biz	Brenneria izadpanahii	1
bjo	Borreliella japonica	0
bjs	Bacillus sp. JS	1
bju	Bradyrhizobium japonicum	1466
bka	Bifidobacterium catenulatum	95
bki	Brachybacterium kimchii	1
bkn	Bacillus kandeliae	1
bko	Cytobacillus kochii	7
bkr	Brevibacterium koreense	1
bks	Bifidobacterium catenulatum	95
bku	Borreliella kurtenbachii	0
bkw	Halalkalibacter krulwichiae	0
bky	Bartonella kosoy	0
bla	Bifidobacterium animalis	1473
blab	Blautia sp. SC05B48	1
blad	Blattabacterium sp. DPU	0
blag	Blastochloris tepida	3
blan	Borreliella lanei	0
blap	Blastococcus sp. PRF04-17	0
blar	Blautia parvula	2
blas	Blastomonas sp. RAC04	0
blat	Burkholderia latens	4
blau	Blautia argi	5
blc	Bifidobacterium animalis	1473
blck	Blattabacterium sp.	2
ble	Shouchella lehensis	1
blem	Bifidobacterium lemurum	3
blen	Lederbergia lenta	1
blep	Beggiatoa leptomitoformis	7
blf	Bifidobacterium longum	2731
blg	Bifidobacterium longum	2731
bli	Bacillus licheniformis	3837
bliq	Blautia liquoris	1
blj	Bifidobacterium longum	2731
blk	Bifidobacterium longum	2731
bll	Bifidobacterium longum	2731
blm	Bifidobacterium longum	2731
bln	Bifidobacterium longum	2731
blo	Bifidobacterium longum	2731
blon	Bifidobacterium longum	2731
blq	Salinivirga cyanobacteriivorans	1
bls	Bifidobacterium animalis	1473
blt	Bifidobacterium animalis	1473
blu	Blattabacterium sp.	2
blv	Bifidobacterium animalis	1473
blw	Bifidobacterium animalis	1473
blx	Bifidobacterium longum	2731
blz	Bifidobacterium longum	2731
bmaa	Pseudoblastomonas marina	0
bmab	Burkholderia mallei	467
bmac	Bartonella machadoae	6
bmae	Burkholderia mallei	467
bmaf	Burkholderia mallei	467
bmai	Burkholderia mallei	467
bmal	Burkholderia mallei	467
bmaq	Burkholderia mallei	467
bmar	Bermanella marisrubri	4
bmat	Borrelia maritima	1
bmay	Borreliella mayonii	1
bmaz	Burkholderia mallei	467
bmb	Brucella abortus	4438
bmc	Brucella abortus	4438
bmec	Burkholderia metallica	7
bmed	Brevundimonas mediterranea	4
bmee	Brucella melitensis	2648
bmei	Botrimarina mediterranea	1
bmel	Brucella melitensis	2648
bmf	Brucella abortus	4438
bmg	Brucella melitensis	2648
bmh	Bacillus megaterium	3401
bmi	Brucella melitensis	2648
bmk	Burkholderia multivorans	291
bml	Burkholderia mallei	467
bmm	Blattabacterium sp.	2
bmn	Burkholderia mallei	467
bmo	Borrelia miyamotoi	492
bmon	Blastococcus montanus	1
bmp	Bacillus velezensis	1659
bmq	Priestia megaterium	238
bmt	Brucella suis	780
bmu	Burkholderia multivorans	291
bmuc	Bacteroides mucinivorans	2
bmul	Burkholderia multivorans	291
bmur	Peribacillus muralis	2
bmv	Burkholderia mallei	467
bmw	Brucella melitensis	2648
bmx	Halobacteriovorax marinus	2
bmz	Brucella melitensis	2648
bnc	Bacillus cereus	11793
bnd	Brevundimonas nasdae	5
bng	Brenneria nigrifluens	12
bni	Bifidobacterium animalis	1473
bnk	Bombiscardovia nodaiensis	0
bnm	Bifidobacterium animalis	1473
bnt	Bacillus nitratireducens	8
bnu	Candidatus Bandiella numerosa	0
bny	Borrelia nietonii	1
bob	Bombella sp. ESL0368	0
boc	Burkholderia oklahomensis	12
bocr	Candidatus Blochmannia ocreatus	0
bof	Allobosea sp. F3-2	0
bog	Bombilactobacillus thymidiniphilus	1
boh	Bordetella sp. H567	0
boi	Allobosea sp. Tri-49	0
boj	Bordetella sp. J329	0
bok	Burkholderia oklahomensis	12
bol	Brucella canis	463
bomb	Aristophania vespae	1
bon	Cytobacillus oceanisediminis	8
boo	Rhodophyticola sp. CCM32	0
bop	Allobosea sp. PAMC 26642	0
boq	Borrelia sp. HM	0
borr	Candidatus Borrelia mahuryensis	1
bos	Allobosea sp. RAC05	0
bose	Allobosea sp. 685	0
bosg	Boseongicola sp. MH-Pat-all_autometa_1-3	0
bou	Heyndrickxia oleronia	4
bow	Allobosea sp. NBC_00550	0
box	Brasilonema octagenarum	3
boy	Bradyrhizobium ontarionense	1
boz	Orrella marina	4
bpaa	Brucepastera parasyntrophica	1
bpam	Bacillus paramobilis	4
bpao	Candidatus Bealeia paramacronuclearis	1
bpar	Bordetella parapertussis	405
bpe	Bordetella pertussis	6528
bper	Bordetella pertussis	6528
bpet	Bordetella pertussis	6528
bpeu	Bordetella pertussis	6528
bpf	Alkalihalophilus pseudofirmus	0
bpi	Blattabacterium sp. BPLAN	0
bpit	Candidatus Brocadia pituitae	0
bpj	Brachyspira pilosicoli	206
bpk	Burkholderia pseudomallei	3424
bpl	Burkholderia pseudomallei	3424
bpla	Burkholderia plantarii	39
bpm	Burkholderia pseudomallei	3424
bpn	Candidatus Blochmanniella pennsylvanica	0
bpo	Brachyspira pilosicoli	206
bpoc	Butyricicoccus porcorum	7
bpon	Brevundimonas pondensis	2
bpor	Bergeyella porcorum	4
bpq	Burkholderia pseudomallei	3424
bpr	Burkholderia pseudomallei	3424
bpro	Blautia producta	72
bprs	Butyrate-producing bacterium	89
bps	Burkholderia pseudomallei	3424
bpsa	Burkholderia pseudomallei	3424
bpsd	Burkholderia pseudomallei	3424
bpse	Burkholderia pseudomallei	3424
bpsh	Burkholderia pseudomallei	3424
bpsi	Basilea psittacipulmonis	2
bpsl	Burkholderia pseudomultivorans	6
bpsm	Burkholderia pseudomallei	3424
bpsn	Brucella pseudintermedia	4
bpso	Burkholderia pseudomallei	3424
bpsu	Burkholderia pseudomallei	3424
bpum	Bacillus pumilus	1547
bpun	Blattabacterium punctulatus	1
bpur	Borrelia puertoricensis	6
bpus	Bacillus pumilus	1547
bpv	Brucella pinnipedialis	35
bpw	Brachyspira pilosicoli	206
bpx	Paraburkholderia phenoliruptrix	1
bpz	Burkholderia pseudomallei	3424
bqb	Bradyrhizobium quebecense	1
bql	Bacillus amyloliquefaciens	2731
bqu	Bartonella quintana	522
bqy	Bacillus velezensis	1659
bra	Bradyrhizobium sp. ORS 278	0
braa	Bradyrhizobium sp. Ash2021	0
brab	Bradyrhizobium sp. BWA-3-5	0
brac	Brachybacterium sp. GU-2	0
brad	Bradyrhizobium sp. BF49	0
brah	Bradyrhizobium sp. BWC-3-1	0
brai	Bradyrhizobium sp. I71	0
bral	Bradyrhizobium zaerense	2
bran	Bradyrhizobium sp. NDS-1	0
brar	Bradyrhizobium zaerense	2
bray	Bradyrhizobium sp. 62B	0
braz	Bradyrhizobium sp. C-145	0
brb	Brenneria rubrifaciens	6
brc	Bradyrhizobium sp. CCGE-LA001	0
brd	Brevundimonas sp. DS20	0
brea	Brevundimonas sp. AJA228-03	0
breb	Brevibacterium sp. BDJS002	0
breh	Brevibacillus sp. HD3.3A	0
brej	Brevibacterium sp. JSBI002	0
brem	Bremerella sp. P1	0
bren	Brevundimonas sp. NIBR11	0
brep	Brevibacillus sp. NSP2.1	0
bres	Brevundimonas sp. scallop	0
breu	Brevundimonas sp. M20	0
brev	Brevundimonas sp. SGAir0440	0
brew	Brevibacillus sp. WF146	0
brey	Bdellovibrio reynosensis	1
brf	Brevundimonas sp. MF30-B	0
brg	Brevundimonas sp. GW460-12-10-14-LB2	0
brh	Mycetohabitans rhizoxinica	9
brha	Brachybacterium sp. NBEC-018	0
bri	Brevibacterium sp. CS2	0
brj	Brucella sp. 09RB8471	0
brk	Bradyrhizobium sp. SK17	0
brl	Brevundimonas sp. LM2	0
brn	Breoghania sp. L-A4	0
bro	Bradyrhizobium sp. ORS 285	0
broo	Brooklawnia propionicigenes	1
bros	Bradyrhizobium roseum	0
brq	Bradyrhizobium amphicarpaeae	2
brr	Brachybacterium sp. SGAir0954	0
brs	Bradyrhizobium cosmicum	2
brt	Propioniciclava sp. MC1595	0
bru	Brucella sp. 2002734562	0
brub	Brucella sp. BO3	0
bruc	Brucella sp. JSBI001	0
brum	Brevibacillus ruminantium	1
brur	Candidatus Borrelia rubricentralis	1
brv	Brachybacterium avium	1
brw	Brevibacillus sp. 7WMA2	0
brx	Brachybacterium sp. P6-10-X1	0
brz	Brachybacterium vulturis	1
bsa	Phocaeicola salanitronis	2
bsaa	Borrelia salvatorii	1
bsan	Bacterioplanes sanyensis	1
bsau	Brachybacterium saurashtrense	6
bsav	Burkholderia savannae	1
bsed	Bradymonas sediminis	5
bsei	Bradyrhizobium sediminis	1
bsel	Buttiauxella selenatireducens	1
bsen	Brasilonema sennae	1
bsep	Bradyrhizobium septentrionale	1
bser	Burkholderia semiarida	3
bsf	Brucella suis	780
bsg	Brucella suis	780
bsh	Bacillus subtilis	39318
bshi	Bacillus shivajii	2
bsi	Brucella suis	780
bsin	Borreliella sinica	0
bsk	Brucella canis	463
bsl	Bacillus subtilis	39318
bslv	Brakhagea slesvicensis	1
bsn	Bacillus subtilis	39318
bso	Bacillus subtilis	39318
bsoa	Burkholderia sola	3
bsol	Baekduia soli	3
bsp	Bacillus subtilis	39318
bspi	Borreliella spielmanii	0
bspo	Brevibacterium spongiae	1
bsq	Bacillus subtilis	39318
bsr	Bacillus subtilis	39318
bss	Bacillus subtilis	39318
bst	Bacillus spizizenii	47
bsta	Brevundimonas staleyi	3
bstg	Burkholderia stagnalis	8
bsu	Bacillus subtilis	39318
bsuc	Brucella suis	780
bsue	Bifidobacterium subtile	6
bsui	Brucella suis	780
bsul	Bacillus subtilis	39318
bsup	Brucella suis	780
bsus	Bacillus subtilis	39318
bsut	Bacillus subtilis	39318
bsuv	Brucella suis	780
bsv	Brucella suis	780
bsw	Brucella suis	780
bsx	Bacillus subtilis	39318
bsy	Bacillus subtilis	39318
bsym	Bradyrhizobium symbiodeficiens	1
bsz	Brucella suis	780
btac	Candidatus Borrelia tachyglossi	7
btc	Bacillus thuringiensis	9423
bte	Burkholderia thailandensis	463
btf	Bacillus thuringiensis	9423
btg	Bacillus thuringiensis	9423
btha	Burkholderia thailandensis	463
bthe	Burkholderia thailandensis	463
bthi	Bacillus thuringiensis	9423
bthl	Burkholderia thailandensis	463
bthm	Burkholderia thailandensis	463
btho	Bacteroides thetaiotaomicron	1259
bthr	Bacillus thuringiensis	9423
btht	Bacillus thuringiensis	9423
bthu	Bacillus thuringiensis	9423
bthv	Caldibacillus thermoamylovorans	8
bthy	Bacillus thuringiensis	9423
bti	Bacillus thuringiensis	9423
btj	Burkholderia thailandensis	463
btk	Bacillus thuringiensis	9423
btl	Bacillus thuringiensis	9423
btn	Bacillus thuringiensis	9423
btq	Burkholderia thailandensis	463
btra	Bibersteinia trehalosi	75
btre	Bibersteinia trehalosi	75
btrh	Bibersteinia trehalosi	75
btro	Bacillus tropicus	70
bts	Kyrpidia tusciae	6
btt	Bacillus thuringiensis	9423
btv	Burkholderia thailandensis	463
btw	Bacillus thuringiensis	9423
btx	Bartonella tribocorum	66
bty	Bacillus toyonensis	117
btz	Burkholderia thailandensis	463
bua	Buchnera aphidicola	307
buc	Buchnera aphidicola	307
bud	Burkholderia humptydooensis	2
bue	Caballeronia cordobensis	1
buf	Buttiauxella sp. 3AFRM03	0
bug	Burkholderia sp. CCGE1001	0
buh	Buchnera aphidicola	307
bui	Burkholderia sp. PAMC 28687	0
buk	Burkholderia sp. KJ006	0
bul	Burkholderia humptydooensis	2
bull	Bulleidia sp. zg-1006	0
bum	Burkholderia sp. PAMC 26561	0
buo	Caballeronia insecticola	10
bup	Buchnera aphidicola	307
buq	Burkholderia sp. HB1	0
burf	Burkholderia sp. FERM BP-3421	0
burk	Burkholderia sp. JP2-270	1
burm	Burkholderia sp. MS389	0
burt	Burkholderia sp. THE68	0
bus	Candidatus Bostrichicola ureolyticus	0
but	Burkholderia pseudomallei	3424
buu	Burkholderia mayonis	1
buv	Burkholderia sp. MS455	0
buw	Candidatus Borrelia undatumii	1
buy	Butyricimonas faecalis	3
buz	Paraburkholderia phytofirmans	50
bva	Candidatus Blochmanniella vafra	0
bves	Allobosea vestrisii	1
bvi	Burkholderia vietnamiensis	145
bvit	Brevundimonas vitis	0
bvj	Heyndrickxia vini	1
bvl	Brucella vulpis	3
bvo	Bremerella volcania	1
bvq	Rossellomorea vietnamensis	3
bvs	Barnesiella viscericola	8
bvt	Borreliella valaisiana	1
bvu	Phocaeicola vulgatus	116
bvv	Allobosea vaviloviae	1
bvw	Borrelia venezuelensis	3
bvx	Candidatus Blochmannia vicinus	0
bvy	Brevundimonas vancanneytii	3
bwa	Berryella wangjianweii	1
bwe	Bacillus mycoides	295
bwf	Candidatus Bandiella euplotis	0
bwh	Metabacillus harenarius	1
bwn	Allobrachymonas wangyanguii	1
bww	Bacillus mycoides	295
bxe	Paraburkholderia xenovorans	25
bxh	Bacillus amyloliquefaciens	2731
bxn	Bradyrhizobium xenonodulans	1
bya	Bacillus velezensis	1659
byi	Burkholderia sp. YI23	0
byl	Blautia pseudococcoides	2
byn	Borreliella yangtzensis	0
bza	Bacteroides zhangwenhongii	2
bzg	Bacteroides zoogleoformans	4
bzh	Bacillus zhangzhouensis	19
caa	Coraliomargarita akajimensis	7
caba	Caballeronia sp. SBC2	0
cabj	Caproicibacterium sp. BJN0003	0
cabk	Caballeronia sp. NK8	0
cabo	Chlamydia abortus	256
caby	Caldithrix abyssi	7
cace	Andreesenella acetica	0
caci	Candidatus Cloacimonas acidaminivorans	0
cacs	Capnocytophaga canis	12
cact	Cognatishimia activa	3
cad	Gottschalkia acidurici	4
cae	Clostridium acetobutylicum	1178
caen	Caenibius sp. WL	0
cagg	Costertonia aggregata	1
caj	Campylobacter iguaniorum	5
cak	Caulobacter sp. K31	0
cald	Caloramator sp. Dgby_cultured_2	0
cale	Caloramator sp. E03	0
calg	Coraliomargarita algicola	1
calh	Calothrix sp. 336/3	0
calk	Candidatus Contubernalis alkaliaceticus	1
call	Candidatus Chlorohelix allophototropha	1
caln	Calothrix sp. NIES-2098	0
calo	Calothrix sp. PCC 7507	0
cals	Calothrix sp. NIES-3974	0
calt	Calothrix sp. PCC 6303	0
calu	Candidatus Caldatribacterium sp.	0
cama	Citrobacter amalonaticus	101
caml	Caproicibacterium amylolyticum	5
camq	Campylobacter sp. GTC17093	0
camr	Campylobacter sp. RM16704	0
camu	Cyclobacterium amurskyense	3
camv	Campylobacter sp. VBCF_01 NA2	0
camy	Campylobacter porcelli	1
camz	Campylobacter vicugnae	2
cans	Corynebacterium anserum	1
cant	Kaistella antarctica	3
cap	Caldilinea aerophila	7
capa	Capnocytophaga sp. ARDL2	0
capf	Capnocytophaga sp. FDAARGOS_737	0
caph	Capnocytophaga sp. H4358	0
capn	Capnocytophaga endodontalis	1
capo	Capnocytophaga sp. oral taxon 902	0
capp	Corynebacterium appendicis	3
capq	Capnocytophaga sp. H2931	0
capr	Caproiciproducens sp. NJN-50	1
caq	Candidatus Paracaedimonas acanthamoebae	1
caqa	Candidatus Chazhemtobacterium aquaticus	1
caqm	Corynebacterium aquatimens	2
caqu	Corynebacterium aquilae	1
carc	Carnobacterium antarcticum	3
care	Collimonas arenae	6
cari	Chitinimonas arctica	2
carl	Caproicibacterium argilliputei	2
carm	Campylobacter armoricus	4
carn	Carnobacterium sp. PL17GRE32	0
cars	Citrobacter arsenatis	1
cart	Cryobacterium arcticum	6
caru	Chimaeribacter arupi	3
cast	Castellaniella sp. MT123	0
cate	Saccharobesus litoralis	3
cati	Catellatospora sp. IY07-71	0
catr	Corynebacterium atrinae	1
catt	Catenovulum adriaticum	1
caub	Caulobacter sp. NIBR1757	0
caue	Caulobacter sp. ErkDOM-YI	0
cauf	Caulobacter sp. FWC26	0
caui	Corynebacterium auris	9
caul	Phenylobacterium montanum	1
cauu	Chryseomicrobium aureum	4
cavi	Campylobacter avium	3
caw	Carnobacterium inhibens	9
cax	Corynebacterium atypicum	2
caxi	Corynebacterium axilliensis	1
cay	Clostridium acetobutylicum	1178
caz	Corynebacterium argentoratense	8
cazo	Caloranaerobacter azorensis	9
cazt	Cereibacter azotoformans	2
cbaa	Serpentinimonas raichei	1
cbab	Serpentinimonas maccroryi	1
cbac	Berryella intestinalis	0
cbae	Chitinophaga caeni	1
cbak	Celeribacter baekdonensis	6
cbam	Mycovorax composti	1
cbar	Petrocella atlantisensis	1
cbat	Cellulophaga baltica	20
cbau	Marnyiella aurantia	1
cbb	Clostridium botulinum	4277
cbd	Coxiella burnetii	4692
cbei	Clostridium beijerinckii	480
cben	Chryseobacterium bernardetii	6
cber	Cognaticolwellia beringensis	0
cbf	Clostridium botulinum	4277
cbg	Coxiella burnetii	4692
cbh	Clostridium botulinum	4277
cbi	Clostridium botulinum	4277
cbii	Campylobacter bilis	9
cbil	Claveliimonas bilis	1
cbj	Clostridium botulinum	4277
cbk	Clostridium botulinum	4277
cbl	Clostridium botulinum	4277
cbla	Campylobacter blaseri	1
cbly	Candidatus Competibacteraceae bacterium	0
cbm	Clostridium botulinum	4277
cbn	Clostridium botulinum	4277
cbo	Clostridium botulinum	4277
cbot	Candidatus Viadribacter manganicus	1
cbp	Chryseobacterium balustinum	11
cbre	Corynebacterium breve	1
cbrv	Congregibacter brevis	1
cbs	Coxiella burnetii	4692
cbt	Clostridium botulinum	4277
cbu	Coxiella burnetii	4692
cbue	Chlamydia buteonis	6
cbut	Clostridium butyricum	1361
cbx	Candidatus Symbiobacter mobilis	1
cby	Clostridium botulinum	4277
cbz	Clostridium beijerinckii	480
ccab	Chryseobacterium camelliae	5
ccaf	Clavibacter californiensis	3
ccah	Crenobacter cavernae	3
ccak	Clostridium caseinilyticum	1
ccam	Cupriavidus campinensis	10
ccao	Chryseobacterium capnotolerans	1
ccap	Clavibacter capsici	6
ccaq	Campylobacter californiensis	2
ccas	Kaistella carnis	4
ccau	Chryseobacterium carnipullorum	5
ccaw	Corynebacterium canis	4
ccax	Cupriavidus cauae	4
ccaz	Couchioplanes caeruleus	7
ccf	Campylobacter coli	2006
cch	Chlorobium chlorochromatii	6
ccha	Caldicellulosiruptor changbaiensis	4
cche	Cellulomonas chengniuliangii	1
cchl	Cohnella cholangitidis	2
cchn	Chryseobacterium chendengshani	1
ccho	Corynebacterium choanae	2
cchr	Candidiatus Paracoxiella	0
ccit	Curtobacterium citreum	12
ccj	Corynebacterium camporealensis	4
ccjz	Corynebacterium crudilactis	1
ccoc	Campylobacter concisus	216
ccoe	Corynebacterium comes	2
ccof	Campylobacter coli	2006
ccoi	Campylobacter coli	2006
ccol	Campylobacter coli	2006
ccom	Allocoprococcus comes	2
ccon	Cronobacter condimenti	12
ccoo	Campylobacter coli	2006
ccop	Crateriforma conspicua	2
ccor	Campylobacter corcagiensis	4
ccos	Caulifigura coniformis	2
ccot	Capsulimonas corticalis	1
ccou	Corynebacterium confusum	2
ccq	Campylobacter coli	2006
ccrd	Chlamydia crocodili	3
ccs	Caulobacter vibrioides	43
cct	Pseudocoprococcus catus	1
ccu	Cryptobacterium curtum	9
ccuc	Chryseobacterium cucumeris	12
ccun	Campylobacter cuniculorum	6
ccup	Cupriavidus sp. USMAHM13	1
ccur	Cylindrospermopsis curvispora	0
ccy	Campylobacter coli	2006
ccyc	Sinomonas cyclohexanicum	1
ccys	Corynebacterium cystitidis	8
ccz	Chthonomonas calidirosea	4
cdae	Chryseobacterium daecheongense	6
cdan	Anaerocellum danielii	1
cdb	Corynebacterium diphtheriae	2179
cdd	Corynebacterium diphtheriae	2179
cde	Corynebacterium diphtheriae	2179
cden	Corynebacterium dentalis	2
cdes	Candidatus Chromulinivorax destructor	0
cdev	Campylobacter devanensis	1
cdf	Clostridioides difficile	6247
cdh	Corynebacterium diphtheriae	2179
cdi	Corynebacterium diphtheriae	2179
cdia	Anaerocellum diazotrophicum	0
cdip	Corynebacterium diphtheriae	2179
cdiz	Celerinatantimonas diazotrophica	5
cdl	Clostridioides difficile	6247
cdo	Corynebacterium doosanense	1
cdon	Cellulomonas dongxiuzhuiae	1
cdp	Corynebacterium diphtheriae	2179
cdr	Corynebacterium diphtheriae	2179
cds	Corynebacterium diphtheriae	2179
cdt	Corynebacterium diphtheriae	2179
cdv	Corynebacterium diphtheriae	2179
cdw	Corynebacterium diphtheriae	2179
cdx	Corynebacterium deserti	3
cdz	Corynebacterium diphtheriae	2179
ceb	Cellvibrio sp. PSBB023	0
cec	Cardinium endosymbiont	8
cee	Corynebacterium endometrii	2
ceec	Cyanobacterium endosymbiont	1
ceg	Cellvibrio sp. KY-GH-1	0
ceh	Celeribacter ethanolicus	1
cei	Corynebacterium epidermidicanis	4
cej	Cellulomonas sp. JZ18	0
cek	Cellvibrio sp. KY-YJ-3	0
cela	Cellulomonas sp. ATA003	0
celc	Cellulomonas sp. C5510	0
cele	Cellulomonas sp. ES6	0
celh	Cellulomonas sp. H30R-01	0
cell	Cellvibrio sp. PSBB006	0
celn	Cellulomonas electrica	1
celz	Cellulomonas shaoxiangyii	1
cen	Cedecea neteri	19
cend	Coxiella endosymbiont	16
ceng	Cardinium endosymbiont	8
ceno	Coxiella endosymbiont	16
cenp	Comamonas endophytica	1
cens	Citrobacter enshiensis	1
ceo	Cyanobacterium endosymbiont	1
cep	Crinalium epipsammum	1
cequ	Cutibacterium equinum	1
cer	Cyanobacterium endosymbiont	1
cet	Cellulosimicrobium sp. TH-20	1
cew	Cellulosilyticum sp. WCF-2	0
cex	Caldisericum exile	3
cexi	Corallococcus exiguus	11
cey	Coxiella mudrowiae	3
cez	Cellulomonas sp. PSBB021	0
cfac	Corynebacterium faecale	1
cfae	Kaistella faecalis	1
cfas	Coprobacter fastidiosus	5
cfb	Clostridium felsineum	18
cfem	Caproicibacter fermentans	6
cfen	Cellulomonas fengjieae	1
cfer	Clostridium fermenticellae	3
cfeu	Corynebacterium felinum	2
cff	Campylobacter fetus	1111
cfg	Corynebacterium freiburgense	4
cfh	Caulobacter flavus	7
cfil	Chitinophaga filiformis	4
cfk	Corynebacterium frankenforstense	5
cflu	Chryseobacterium fluminis	1
cfm	Andreesenella formicacetica	0
cfn	Corynebacterium falsenii	11
cfon	Chitinibacter fontanus	3
cfou	Corynebacterium fournieri	0
cfp	Campylobacter fetus	1111
cfq	Citrobacter freundii	2607
cfs	Chlamydia trachomatis	15950
cft	Campylobacter fetus	1111
