code	binomial	pubmed_count
hsal	Haloterrigena salifodinae	4
hsf	Halanaeroarchaeum sulfurireducens	3
hsin	Haloarcula marismortui	256
hsl	Halobacterium salinarum	634
hsn	Halapricum salinum	2
hss	Halorubrum ruber	2
hsu	Halanaeroarchaeum sulfurireducens	3
hta	Haloarcula taiwanensis	2
hti	Halorhabdus tiamatea	7
htp	Halorubrum trapanicum	6
hvo	Haloferax volcanii	761
hwc	Haloquadratum walsbyi	67
hxa	Halopiger xanaduensis	6
hxj	Halorubrum xinjiangense	7
iag	Ignisphaera aggregans	8
iis	Ignicoccus islandicus	6
ipc	Ignicoccus pacificus	4
kcr	Candidatus Korarchaeum cryptofilum	6
lob	Candidatus Lokiarchaeum ossiferum	3
loki	Candidatus Lokiarchaeum sp.	1
manq	Methanomicrobium antiquum	2
maqe	Methanofollis aquaemaris	4
marh	Candidatus Mancarchaeum acidiphilum	2
marv	Microcaldota archaeon	0
max	Methanomethylophilus alvi	1
mbak	Methanosarcina barkeri	548
mbar	Methanosarcina barkeri	548
mbn	Methanoregula boonei	6
mbw	Methanosarcina barkeri	548
mby	Methanosarcina barkeri	548
mchk	Methanoculleus chikugoensis	5
mcn	Metallosphaera cuprina	9
mcub	Methanobacterium congolense	10
meac	Methanobacterium nebraskense	2
meae	Methanonatronarchaeum sp. AMET-Sl	0
meam	Methanonatronarchaeum sp. AMET6-2	0
mear	Candidatus Methanoplasma termitum	2
meax	Methanothermococcus jasoni	1
meb	Methanobrevibacter sp. AbM4	4
meer	Methanobacterium sp. ERen5	0
mees	Methanimicrococcus stummii	0
mef	Methanosarcina sp. WH1	0
mefw	Methanochimaera problematica	1
mehf	Methanimicrococcus hongohii	0
meis	Methanosphaera sp. ISO3-F5	0
mek	Methanosarcina sp. Kolksee	0
mel	Methanobacterium lacus	4
melo	Methanococcoides orientis	4
melu	Candidatus Methanoliparum sp.	0
mema	Methanoculleus bourgensis	45
meme	Methanobacterium alkalithermotolerans	1
mend	Methanoplanus endosymbiosus	3
meq	Methanosarcina sp. WWM596	0
mer	Candidatus Methanomassiliicoccus intestinalis	5
mesa	Methanocaldococcus lauensis	1
mesb	Methanogenium sp. S4BF	0
mesg	Methanocaldococcus lauensis	1
mesk	Methanoregula sp. SKADARSKE-2	0
metb	Methanosphaera sp. BMS	0
metc	Methanothermobacter sp. CaT2	0
mete	Methanothermobacter sp. EMTCatA1	0
metf	Methanofervidicoccus sp. A16	0
meth	Methanobacterium sp. MB1	0
metj	Methanothermobacter sp. THM-2	0
metk	Methanothermobacter sp. KEPCO-1	0
metm	Methanosarcina sp. MTP4	0
metn	Methanobacterium sp. MZ-A1	0
meto	Methanobacterium sp. BAmetb5	0
mett	Methanobacterium sp. BRmetb2	0
metv	Methanobrevibacter sp. TLL-48-HuF1	0
metw	Methanosarcina sp. 795	0
metz	Methanothermobacter sp. MT-2	0
meuz	Candidatus Methanogranum gryphiswaldense	1
mev	Methanohalobium evestigatum	4
mew	Methanobacterium paludis	4
meye	Methanobrevibacter sp. YE315	2
mez	Methanocella conradii	8
mezk	Methanolobus sp. ZRKC1	0
mfe	Methanocaldococcus fervens	4
mfeg	Methanobacterium ferruginis	1
mfi	Methanobacterium formicicum	159
mfk	Methanofollis formosanus	4
mfo	Methanoregula formicica	3
mfs	Methanocaldococcus sp. FS406-22	2
mfz	Methanosarcina flavescens	11
mhab	Methanosarcina hadiensis	1
mhaz	Methanohalophilus halophilus	4
mhi	Methanothrix harundinacea	8
mhk	Metallosphaera hakonensis	6
mhor	Methanosarcina horonobensis	7
mif	Methanocaldococcus infernus	12
mig	Methanotorris igneus	4
mine	Methanobrevibacter intestini	6
miy	Candidatus Micrarchaeum sp.	0
mjh	Methanocaldococcus bathoardescens	5
mjk	Candidatus Methanospirare jalkutatii	0
mjn	Metallosphaera javensis	2
mlaa	Methanospirillum lacunae	4
mls	Methanosarcina lacustris	6
mmac	Methanosarcina mazei	380
mmaj	Methanosarcina mangrovi	1
mmak	Methanococcus maripaludis	332
mmao	Methanococcus maripaludis	332
mmap	Methanococcoides mangrovi	1
mmav	Methanolobus mangrovi	1
mmaz	Methanosarcina mazei	380
mmd	Methanococcus maripaludis	332
mmh	Methanohalophilus mahii	6
mmj	Methanosarcina mazei	380
mmp	Methanococcus maripaludis	332
mmq	Methanococcus maripaludis	332
mmvi	Methanococcus mangrovi	1
mmx	Methanococcus maripaludis	332
mmz	Methanococcus maripaludis	332
mok	Methanothermococcus okinawensis	11
mol	Methanobrevibacter olleyae	12
mou	Methanogenium organophilum	3
mpd	Methanocella paludicola	10
mpi	Methanolacinia petrolearia	4
mpl	Methanosphaerula palustris	5
mpru	Metallosphaera sedula	95
mpum	Methanocalculus pumilus	3
mrc	Methanoculleus receptaculi	4
mrid	Methanobacterium aridiramus	1
mrtj	Methanospirillum purgamenti	1
msds	Methanosarcina sediminis	1
mse	Metallosphaera sedula	95
mseb	Methanolobus sediminis	1
msel	Methanococcoides seepicolus	1
msj	Methanosarcina siciliae	9
msoc	Methanothermus sociabilis	5
mstm	Methanospirillum stamsii	4
msub	Methanobacterium subterraneum	8
msum	Methanoculleus submarinus	5
msw	Methanosarcina siciliae	9
msz	Methanosarcina siciliae	9
mtee	Methanothermobacter tenebrarum	4
mten	Metallosphaera tengchongensis	2
mthm	Methanothermobacter sp. THM-1	0
mthr	Methanosarcina thermophila	199
mtp	Methanothrix thermoacetophila	6
